gender,marital_status,region,highest_education,school,employment_status,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process,over_under_milion,discipline
male,married,southern,doctorate,mzuni,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,neutral,neutral,neutral,neutral,under,stem
female,married,northern,master,mzuni,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,convenient,effective,effective,positive,very satisfied,under,stem
male,married,central,doctorate,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,southern,doctorate,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,central,master,poly,self_employed,tuition_living_stationery,fully_paid,employer,voluntary_monthly,neutral,effective,effective,positive,very satisfied,under,commerce
male,single,central,bachelor,chanco,fulltime,tuition_living,partially_paid,email_inperson,monthly_salary,neutral,effective,neutral,negative,dissatisfied,over,commerce
male,single,southern,bachelor,mzuni,fulltime,tuition_living,fully_paid,email_inperson,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
male,married,central,bachelor,mzuni,fulltime,tuition_living,fully_paid,employer,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
female,married,central,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,single,southern,bachelor,mzuni,fulltime,tuition_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,central,master,mzuni,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,stem
male,single,central,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,central,bachelor,mzuni,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,northern,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,single,central,master,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,single,southern,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,stem
female,divorced,northern,doctorate,luanar,self_employed,tuition_living,fully_paid,inperson,voluntary_monthly,convenient,ineffective,ineffective,negative,dissatisfied,over,stem
female,married,southern,master,poly,fulltime,tuition_living,fully_paid,phone,voluntary_monthly,convenient,effective,effective,positive,satisfied,under,stem
male,single,northern,bachelor,poly,fulltime,living_stationery,fully_paid,email,monthly_salary,convenient,neutral,neutral,positive,neutral,under,stem
female,married,northern,bachelor,mzuni,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,single,central,bachelor,luanar,fulltime,tuition_living,partially_paid,inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral,over,natural resourses
male,married,central,bachelor,luanar,fulltime,tuition_living,partially_paid,inperson,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
male,single,central,bachelor,luanar,self_employed,tuition_living,not_paid,employer,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
female,married,central,bachelor,luanar,fulltime,tuition_living,not_paid,inperson,none,inconvenient,ineffective,neutral,neutral,neutral,over,stem
male,divorced,central,master,luanar,fulltime,living,fully_paid,inperson,monthly_salary,convenient,effective,effective,positive,neutral,under,stem
male,married,northern,bachelor,chanco,fulltime,tuition_living,fully_paid,inperson,monthly_salary,convenient,effective,effective,positive,satisfied,under,stem
male,married,southern,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,voluntary_monthly,very_convenient,very_effective,effective,very_positive,very satisfied,under,stem
female,married,northern,bachelor,poly,fulltime,tuition_living_stationery,partially_paid,email,monthly_salary,neutral,neutral,effective,neutral,neutral,over,stem
female,married,southern,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,central,doctorate,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
male,married,northern,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,single,northern,bachelor,chanco,fulltime,tuition_living_stationery,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,stem
female,married,southern,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,married,central,bachelor,chanco,fulltime,living,fully_paid,email_inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,married,central,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
female,single,southern,bachelor,chanco,fulltime,tuition_living,fully_paid,email_inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,over,stem
female,married,southern,bachelor,chanco,fulltime,tuition_living,fully_paid,phone,monthly_salary,very_convenient,very_effective,very_effective,very_positive,very satisfied,under,stem
